timestamp	model_name	split	rmse	mae	mape	spearman	rows
2026-04-27T15:58:03	search_huber_v1	validation	1422490.723952	940201.064665	7.789217	0.385037	2306
2026-04-27T15:58:03	search_huber_v1	test	2109601.359261	1200483.430036	5.613896	0.345661	2332
2026-04-30T17:20:57	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-04-30T17:20:57	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-04-30T17:20:57	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-04-30T17:20:57	search_huber_log_scale_cols_v1	validation	1351472.108494	897593.183508	7.656134	0.424909	2306
2026-04-30T17:21:20	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-04-30T17:21:20	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-04-30T17:21:20	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-04-30T17:21:20	search_huber_log_scale_cols_v1	validation	1351472.108494	897593.183508	7.656134	0.424909	2306
2026-04-30T17:21:51	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-04-30T17:21:51	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-04-30T17:21:51	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-04-30T17:21:51	search_huber_log_scale_cols_v1	validation	1351472.108494	897593.183508	7.656134	0.424909	2306
2026-04-30T17:22:24	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-04-30T17:22:24	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-04-30T17:22:24	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-04-30T17:22:24	search_huber_quantile_normal_v1	validation	1416420.916839	937177.756678	7.779700	0.389983	2306
2026-04-30T17:22:47	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-04-30T17:22:47	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-04-30T17:22:47	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-04-30T17:22:47	search_huber_quantile_normal_v1	validation	1416420.916839	937177.756678	7.779700	0.389983	2306
2026-04-30T17:23:14	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-04-30T17:23:14	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-04-30T17:23:14	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-04-30T17:23:14	search_huber_eps_1_1_v1	validation	1417398.866252	920793.978377	7.354549	0.395916	2306
2026-04-30T17:23:50	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-04-30T17:23:50	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-04-30T17:23:50	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-04-30T17:23:50	search_huber_log_scale_cols_v1	validation	1351472.108494	897593.183508	7.656134	0.424909	2306
2026-04-30T17:23:50	search_huber_log_scale_cols_v1	test	1997095.069027	1069969.987175	4.248943	0.339560	2332
2026-05-05T15:53:41	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T15:53:41	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T15:53:41	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T15:53:41	search_huber_week4_control_week3_features_v1	validation	1351472.108494	897593.183508	7.656134	0.424909	2306
2026-05-05T15:53:59	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T15:53:59	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T15:53:59	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T15:53:59	search_huber_week4_release_timing_family_v1	validation	1334444.153323	870481.276604	6.524334	0.452583	2306
2026-05-05T15:54:12	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T15:54:12	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T15:54:12	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T15:54:12	search_huber_week4_concert_timing_family_v1	validation	1351472.108494	897593.183508	7.656134	0.424909	2306
2026-05-05T15:54:26	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T15:54:26	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T15:54:26	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T15:54:26	search_huber_week4_negative_regime_family_v1	validation	1347488.135996	896915.008156	7.306693	0.433551	2306
2026-05-05T15:54:41	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T15:54:41	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T15:54:41	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T15:54:41	search_huber_week4_release_plus_regime_combo_v1	validation	1328169.539574	875849.135285	6.016124	0.455865	2306
2026-05-05T15:55:01	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T15:55:01	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T15:55:01	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T15:55:01	search_huber_week4_release_plus_regime_combo_v1	validation	1328169.539574	875849.135285	6.016124	0.455865	2306
2026-05-05T15:55:01	search_huber_week4_release_plus_regime_combo_v1	test	2001850.158853	1042305.420460	4.235544	0.365231	2332
2026-05-05T16:04:06	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:04:06	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:04:06	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:04:06	search_huber_week4_momentum_gap_family_v1	validation	1349804.529945	897326.074681	7.912147	0.439875	2306
2026-05-05T16:04:25	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:04:25	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:04:25	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:04:25	search_huber_week4_spike_flag_family_v1	validation	1350523.481168	896105.791551	7.963931	0.446326	2306
2026-05-05T16:04:41	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:04:41	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:04:41	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:04:41	search_huber_week4_release_plus_momentum_family_v1	validation	1331647.510589	872716.860544	6.811662	0.465000	2306
2026-05-05T16:05:02	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:05:02	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:05:02	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:05:02	search_huber_week4_breakout_full_combo_v1	validation	1349521.800985	889148.613851	6.712513	0.466598	2306
2026-05-05T16:05:33	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:05:33	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:05:33	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:05:33	search_huber_week4_release_plus_regime_combo_v1	validation	1328169.539574	875849.135285	6.016124	0.455865	2306
2026-05-05T16:05:33	search_huber_week4_release_plus_regime_combo_v1	test	2001850.158853	1042305.420460	4.235544	0.365231	2332
2026-05-05T16:21:35	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:21:35	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:21:35	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:21:35	search_week4_release_plus_regime_combo_huber_eps_1_25_v1	validation	1326596.550141	865851.633354	5.562531	0.456486	2306
2026-05-05T16:21:55	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:21:55	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
2026-05-05T16:21:55	ridge_baseline	validation	1858878.270306	1310621.607564	14.634026	0.150736	2306
2026-05-05T16:21:55	search_week4_release_plus_regime_combo_huber_eps_1_30_v1	validation	1327241.563078	870520.841660	5.776354	0.456515	2306
2026-05-05T16:22:15	zero_growth_baseline	validation	1567991.665051	967837.322203	1.000000	0.028546	2306
2026-05-05T16:22:15	previous_30d_growth_baseline	validation	2073583.150750	1317307.739376	5.564849	0.168039	2306
